公司名稱,地區,資本額,公司人數,招募人數
英屬開曼群島商泰鼎國際事業股份有限公司台灣分公司,台北市松山區,1899000000,6000,4
聚碩科技股份有限公司,台北市內湖區,1883570000,402,43
樂陞科技股份有限公司,台北市北投區,1839000000,暫不提供,0
豐藝電子股份有限公司,台北市內湖區,1790000000,380,10
遊戲橘子數位科技股份有限公司,台北市內湖區,1754270000,1000,66
全科科技股份有限公司,台北市內湖區,1700000000,230,6
大眾電腦股份有限公司,台北市內湖區,1700000000,250,17
帆宣系統科技股份有限公司,台北市南港區,1639080000,700,36
寶島陽光再生能源股份有限公司,台北市大安區,1626460000,21,1
太欣半導體股份有限公司,台北市內湖區,1620000,100,3
維熹科技股份有限公司,台北市內湖區,1600000000,3700,12
禾伸堂企業股份有限公司,台北市內湖區,1579900000,1000,23
大台北寬頻網路股份有限公司,台北市松山區,1500000000,16,0
馬來西亞商綠馳通訊科技股份有限公司台灣分公司,台北市內湖區,1500000000,暫不提供,0
歐格電子工業股份有限公司,台北市內湖區,1500000000,1000,5
神通資訊科技股份有限公司,台北市內湖區,1500000000,1000,59
零壹科技股份有限公司_Zero One Tech,台北市內湖區,1500000000,250,13
華擎科技股份有限公司,台北市北投區,1500000000,290,26
關貿網路股份有限公司,台北市南港區,1500000000,560,57
系統電子工業股份有限公司,台北市內湖區,1500000000,500,12
淳安電子股份有限公司,台北市內湖區,1481030000,1200,14
飛捷科技股份有限公司,台北市內湖區,1460000000,480,12
良維科技股份有限公司,台北市中山區,1430000000,5000,5
崇越科技股份有限公司,台北市內湖區,1429410000,450,56
藍新科技股份有限公司,台北市南港區,1400000000,58,6
美商浪橋科技股份有限公司_Splashtop Inc.,台北市松山區,1000000000,40,12
際崴科技有限公司,台北市大安區,1000000000,60,0
"安國國際科技股份有限公司(Alcor Micro,Corp.)",台北市南港區,1000000000,98,6
聯昌電子企業股份有限公司,台北市內湖區,1000000000,90,4
凌群電腦股份有限公司,台北市萬華區,1000000000,1000,70
鴻名企業股份有限公司,台北市信義區,1000000000,1300,27
鈞泰國際股份有限公司,台北市大安區,1000000000,暫不提供,7
台灣京瓷辦公資訊系統股份有限公司,台北市中山區,1000000000,87,6
中華資安國際股份有限公司,台北市中正區,1000000000,暫不提供,26
台灣資信有限公司,台北市信義區,1000000000,250,14
安普新股份有限公司,台北市南港區,1000000000,3000,7
寶碩財務科技股份有限公司,台北市內湖區,1000000000,180,13
聯華電信股份有限公司,台北市內湖區,1000000000,100,12
Temenos_新加坡商坦密諾斯軟件有限公司台灣分公司,台北市信義區,1000000000,5700,0
捷泰精密工業股份有限公司,台北市松山區,960100000,40,0
統振股份有限公司,台北市內湖區,950000000,66,5
蜜望實企業股份有限公司,台北市內湖區,9180000,100,0
日商東芝家電技術股份有限公司,台北市信義區,900000000,490,0
曉數碼股份有限公司,台北市松山區,900000000,170,5
欣技資訊股份有限公司,台北市大安區,900000000,240,14
大同世界科技股份有限公司,台北市中山區,885600000,580,85
是方電訊股份有限公司(中華電信關係企業),台北市內湖區,880000000,100,7
泰碩電子股份有限公司,台北市內湖區,872580000,3000,6
中華網龍股份有限公司,台北市南港區,857040000,180,12
旺玖科技股份有限公司,台北市南港區,845740000,140,17
和泰聯網股份有限公司,台北市中山區,830000000,暫不提供,8
英屬蓋曼群島商譜瑞科技股份有限公司台灣分公司,台北市內湖區,820000000,413,13
碩天科技股份有限公司,台北市內湖區,89510000,2500,25
國眾電腦股份有限公司,台北市內湖區,85900000,361,45
錩新科技股份有限公司,台北市中正區,800000000,1300,1
陞泰科技股份有限公司,台北市南港區,800000000,150,28
德商默克在台集團_默克先進科技材料股份有限公司,台北市內湖區,800000000,310,2
華騰國際科技股份有限公司(ATP Electronics Taiwan Inc.),台北市內湖區,800000000,400,22
奇偶科技股份有限公司,台北市內湖區,800000000,200,10
遊戲新幹線科技股份有限公司,台北市南港區,800000000,70,0
海韻電子工業股份有限公司,台北市內湖區,799530000,100,8
驊訊電子企業股份有限公司,台北市大安區,779240000,120,8
塞席爾商元鼎音訊股份有限公司台灣分公司,台北市大安區,750000000,30,0
big big channel_聯意投資股份有限公司,台北市中正區,750000000,30,0
阿波羅電業科技股份有限公司,台北市大安區,750000000,4500,0
鴻碩集團_航碩興業有限公司,台北市內湖區,745000000,1800,7
亞元科技股份有限公司,台北市大安區,726860000,110,4
神盾股份有限公司,台北市內湖區,79800000,450,57
旭隼科技股份有限公司,台北市內湖區,7860000,2267,11
世成科技股份有限公司,台北市中山區,700000000,60,2
資策會_財團法人資訊工業策進會,台北市大安區,700000000,2000,69
展國際股份有限公司,台北市中正區,700000000,270,9
德臻科技股份有限公司,台北市南港區,700000000,30,1
華經資訊企業股份有限公司,台北市內湖區,699610000,300,18
百徽股份有限公司,台北市內湖區,699140000,50,0
鴻碩精密電工股份有限公司,台北市內湖區,698000000,1800,0
曜越科技股份有限公司,台北市內湖區,666130000,400,15
廣穎電通股份有限公司,台北市內湖區,650000000,400,13
香港商千代達電子製造有限公司,台北市大同區,650000000,3743,1
崇越電通股份有限公司,台北市大安區,643500000,100,3
豪勉科技股份有限公司,台北市大同區,642620000,180,4
英屬開曼群島商世芯股份有限公司台灣分公司,台北市內湖區,630000000,350,14
中菲電腦股份有限公司,台北市內湖區,626300000,290,22
立積電子股份有限公司,台北市內湖區,619000000,250,37
雅士晶業股份有限公司,台北市中正區,610000000,2000,1
品安科技股份有限公司,台北市內湖區,69210000,580,12
元炬科研股份有限公司,台北市內湖區,6110000,66,5
應宏國際股份有限公司,台北市內湖區,650000,150,10
美商綠銅科技有限公司臺灣分公司,台北市中山區,600000000,30,0
台灣佳美工股份有限公司,台北市中正區,600000000,420,0
洪量科技有限公司,台北市信義區,600000000,暫不提供,0
和信超媒體股份有限公司戲谷分公司,台北市內湖區,600000000,150,11
中華系統整合股份有限公司,台北市大安區,600000000,320,20
永利聯合股份有限公司,台北市大安區,600000000,20,1
緯創集團_緯昌科技股份有限公司,台北市南港區,600000000,85,7
美商和諧國際有限公司台灣分公司,台北市中山區,600000000,80,4
眾達光電股份有限公司,台北市大安區,600000000,1000,7
行動X支付_異康股份有限公司,台北市大安區,600000000,暫不提供,1
力新國際科技股份有限公司,台北市內湖區,590940000,130,6
禾瑞亞科技股份有限公司,台北市內湖區,590000000,170,6
晟鈦股份有限公司,台北市大安區,580000000,300,0
美商Amazon_Ring台灣子公司_環安智控股份有限公司,台北市內湖區,560000000,1000,37
嵩森科技股份有限公司,台北市內湖區,532000000,70,2
街口電子支付股份有限公司,台北市松山區,510000000,160,18
立達國際電子股份有限公司,台北市內湖區,59240000,100,25
德勝科技股份有限公司,台北市南港區,53260000,124,9
宸鴻光電科技股份有限公司,台北市內湖區,51000000,38000,36
昱鼎能源科技開發股份有限公司,台北市內湖區,560000,暫不提供,0
"HAViX Electronics Co., Ltd._晶聯電子股份有限公司",台北市信義區,500000000,25,0
樂利數位科技股份有限公司,台北市內湖區,500000000,80,5
華碩雲端股份有限公司,台北市北投區,500000000,暫不提供,22
億鴻系統科技股份有限公司,台北市內湖區,500000000,80,2
進金生實業股份有限公司,台北市內湖區,500000000,100,9
台灣是德科技股份有限公司,台北市中山區,500000000,140,7
尚立股份有限公司,台北市內湖區,500000000,80,4
朝貴電子股份有限公司,台北市內湖區,500000000,15,5
偉聯科技股份有限公司,台北市南港區,500000000,70,3
好德科技股份有限公司,台北市松山區,500000000,105,11
亞矽科技股份有限公司,台北市內湖區,500000000,60,5
樂利數位科技股份有限公司,台北市內湖區,500000000,80,5
汎宇電商股份有限公司,台北市南港區,500000000,70,6
台灣運動彩券股份有限公司,台北市松山區,500000000,暫不提供,0
數位點子多媒體股份有限公司,台北市內湖區,500000000,40,4
霖園關係企業_神坊資訊股份有限公司,台北市信義區,499990000,130,26
牧東光電股份有限公司,台北市大安區,495790000,暫不提供,0
正美企業股份有限公司,台北市南港區,490000000,5000,18
華盈電子股份有限公司,台北市內湖區,488460000,300,4
堡達實業股份有限公司,台北市中山區,486000000,55,0
台灣電容器製造廠股份有限公司,台北市中山區,473800000,500,6
資通電腦股份有限公司,台北市中山區,472530000,300,23
PAPAGO＿ 研勤科技股份有限公司,台北市內湖區,471890000,176,7
台灣類比科技股份有限公司,台北市內湖區,471650000,150,1
凱柏實業股份有限公司,台北市中山區,466630000,20,0
台灣微米科技股份有限公司,台北市士林區,450000000,31,5
摩百數位股份有限公司,台北市內湖區,450000000,30,0
紫盛智慧科技股份有限公司,台北市大同區,448000000,30,0
商合行股份有限公司,台北市中山區,445000000,55,5
三聯科技股份有限公司,台北市大安區,443000000,125,3
久威國際股份有限公司,台北市內湖區,439120000,暫不提供,0
PayEasy網路購物_康迅數位整合股份有限公司,台北市中正區,435000000,100,8
創威智聯股份有限公司,台北市信義區,421420000,暫不提供,1
三竹資訊股份有限公司,台北市中山區,412680000,293,23
台灣新蛋股份有限公司,台北市內湖區,412000000,2000,5
TTI_智同科技股份有限公司,台北市信義區,410000000,200,7
天剛資訊股份有限公司,台北市大同區,49600000,41,2
百辰光電股份有限公司,台北市內湖區,49200000,90,2
大宇資訊股份有限公司,台北市信義區,45000000,150,8
寶島極光股份有限公司,台北市士林區,43690000,100,0
大都會平台科技股份有限公司,台北市內湖區,400000000,200,0
數聯資安股份有限公司,台北市內湖區,400000000,150,20
"替您錄科技股份有限公司(TGC Taiwan, Inc.)",台北市松山區,400000000,100,8
翰廷精密科技股份有限公司,台北市內湖區,400000000,38,2
秀波電子股份有限公司,台北市士林區,400000000,600,4
博訊科技股份有限公司,台北市大同區,400000000,90,2
德鴻科技股份有限公司,台北市大同區,400000000,90,6
聯合通商電子商務股份有限公司,台北市松山區,400000000,100,19
第一電阻電容器股份有限公司,台北市大安區,400000000,150,2
嘉信資訊科技股份有限公司,台北市內湖區,400000000,100,10
艾恩特精密工業股份有限公司,台北市內湖區,400000000,450,6
太極影音科技股份有限公司,台北市南港區,400000000,暫不提供,0
茂一電子股份有限公司,台北市松山區,399000000,400,0
開曼群島商威馳克媒體集團股份有限公司,台北市內湖區,393790000,600,0
中嘉數位股份有限公司,台北市內湖區,390000000,300,55
虹優科技股份有限公司,台北市中山區,390000000,暫不提供,18
松下產業科技股份有限公司,台北市信義區,387000000,250,1
訊達電腦股份有限公司,台北市中山區,383670000,177,28
益登科技子公司_商杰股份有限公司,台北市內湖區,380000000,70,0
大山網路有限公司,台北市內湖區,380000000,900,0
全域股份有限公司,台北市信義區,380000000,400,2
系微股份有限公司,台北市中山區,380000000,500,21
芬格科技有限公司,台北市信義區,377050000,250,0
昱泉國際股份有限公司,台北市內湖區,371390000,暫不提供,0
南京資訊股份有限公司,台北市內湖區,371000000,380,52
建騰創達科技股份有限公司,台北市內湖區,370000000,200,8
台聯電訊股份有限公司,台北市內湖區,368000000,37,2
來頡科技股份有限公司,台北市內湖區,367000000,30,1
新儲域科技股份有限公司,台北市內湖區,360000000,30,0
埃緯迅股份有限公司,台北市松山區,360000000,70,6
17直播_英屬維京群島商麻吉一七股份有限公司台灣分公司,台北市中正區,354500000,350,43
勤崴國際科技股份有限公司,台北市中正區,351130000,160,3
搏盟科技股份有限公司,台北市內湖區,350000000,暫不提供,25
德欣寰宇科技股份有限公司,台北市中正區,350000000,85,8
仲駿股份有限公司,台北市內湖區,350000000,100,2
喬美國際網路股份有限公司,台北市南港區,350000000,35,5
凹凸電子股份有限公司,台北市松山區,340000000,100,11
安鈦克科技股份有限公司,台北市內湖區,337330000,40,1
聰泰科技開發股份有限公司,台北市中正區,337290000,120,10
駿熠電子科技股份有限公司,台北市內湖區,333680000,45,6
台灣太陽誘電股份有限公司(日商),台北市內湖區,333500000,100,0
巨有科技股份有限公司,台北市內湖區,331930000,暫不提供,19
威潤科技股份有限公司,台北市內湖區,329740000,83,10
勁豐電子股份有限公司,台北市內湖區,329000000,170,9
登騰電子股份有限公司,台北市松山區,325000000,暫不提供,1
香港商上海復旦微電子有限公司台灣辦事處,台北市內湖區,320000000,900,0
Allion_百佳泰股份有限公司,台北市南港區,320000000,暫不提供,21
台灣碩網網路娛樂股份有限公司,台北市南港區,314290000,200,11
創新新零售股份有限公司,台北市大同區,310380000,110,0
主向位科技股份有限公司,台北市內湖區,39000000,100,6
凱衛資訊股份有限公司,台北市松山區,36740000,162,16
喬暘電子股份有限公司,台北市內湖區,35010000,80,0
邏輯電子股份有限公司,台北市松山區,35010000,1000,0
聯合聚晶股份有限公司,台北市內湖區,35000000,35,0
經貿聯網科技股份有限公司,台北市內湖區,32510000,200,16
臺灣立方能源股份有限公司,台北市南港區,3500000,暫不提供,7
IBM_台灣國際商業機器股份有限公司,台北市信義區,360000,暫不提供,11
有萬科技股份有限公司,台北市南港區,360000,120,20
耐能智慧股份有限公司,台北市內湖區,320000,140,3
台灣佐鳥股份有限公司,台北市松山區,300000000,26,0
嘉捷電子工業股份有限公司,台北市內湖區,300000000,50,0
暘資訊股份有限公司,台北市南港區,300000000,40,0
茂丞科技股份有限公司,台北市松山區,300000000,暫不提供,0
盟訊科技股份有限公司,台北市內湖區,300000000,35,0
香港商應達利電子有限公司,台北市內湖區,300000000,600,0
宇通光電通信股份有限公司,台北市大同區,300000000,40,0
紘康科技股份有限公司,台北市士林區,300000000,75,5
隴華電子股份有限公司,台北市松山區,300000000,30,3
台灣析數資訊股份有限公司,台北市內湖區,300000000,暫不提供,3
禾麟數碼科技股份有限公司,台北市內湖區,300000000,30,7
富鴻網股份有限公司,台北市內湖區,300000000,310,26
英屬開曼群島商易智能股份有限公司台灣分公司,台北市大安區,300000000,80,3
立普思股份有限公司,台北市內湖區,300000000,87,7
百聿數碼創意股份有限公司,台北市內湖區,300000000,暫不提供,2
展匯科技股份有限公司,台北市南港區,300000000,70,5
鈺立微電子股份有限公司,台北市內湖區,300000000,暫不提供,13
鈺群科技股份有限公司,台北市內湖區,300000000,暫不提供,6
偉林電子股份有限公司,台北市南港區,300000000,100,0
亞洲賽伯特科技有限公司,台北市內湖區,300000000,120,3
網家跨境服務股份有限公司,台北市大安區,300000000,35,5
依德科技股份有限公司,台北市內湖區,300000000,26,4
英屬開曼群島商長穩智能科技股份有限公司台灣分公司,台北市內湖區,300000000,暫不提供,21
志展實業股份有限公司,台北市南港區,300000000,暫不提供,6
精益科技股份有限公司,台北市南港區,300000000,110,21
吉鴻電子股份有限公司,台北市內湖區,300000000,250,6
臺灣瑞普有限公司,台北市南港區,300000000,80,2
雷爵網絡科技股份有限公司,台北市萬華區,300000000,20,2
臺灣瑞普有限公司,台北市南港區,300000000,80,2
吉鴻電子股份有限公司,台北市內湖區,300000000,250,6
采昌國際多媒體股份有限公司,台北市內湖區,300000000,50,0
新誼整合科技股份有限公司,台北市內湖區,300000000,70,6
統一企業集團_統一資訊股份有限公司,台北市內湖區,299000000,350,58
偉盟系統股份有限公司,台北市南港區,290000000,120,8
統一集團_安源資訊股份有限公司,台北市內湖區,281040000,110,1
產晶積體電路股份有限公司,台北市內湖區,280000000,48,4
商之器科技股份有限公司,台北市內湖區,280000000,130,4
晃誼科技股份有限公司,台北市信義區,279500000,320,20
唯數娛樂科技股份有限公司,台北市中正區,276450000,150,4
威睿科技股份有限公司,台北市內湖區,275000000,90,2
真好玩娛樂科技股份有限公司,台北市中山區,274000000,200,23
紅心辣椒娛樂科技股份有限公司,台北市內湖區,273700000,75,6
台灣三星電子股份有限公司,台北市內湖區,272700000,200,1
斯其大科技股份有限公司,台北市信義區,266800000,100,0
震旦行股份有限公司五股一分公司_辦公設備系統事業部,台北市信義區,264000000,600,51
佳能國際股份有限公司,台北市信義區,263000000,210,37
惠隆資訊股份有限公司,台北市內湖區,260000000,107,0
陞達科技股份有限公司,台北市內湖區,260000000,50,6
好慶科技企業股份有限公司,台北市中山區,260000000,1200,12
固昌通訊股份有限公司,台北市士林區,260000000,500,3
頑石生活股份有限公司,台北市大安區,260000000,55,11
多泰實業股份有限公司,台北市松山區,250000000,700,0
文筆網路科技有限公司,台北市松山區,250000000,40,0
聯瑞科技股份有限公司,台北市中山區,250000000,60,2
營格股份有限公司,台北市中山區,250000000,50,0
臺灣網路認證股份有限公司,台北市中正區,250000000,89,8
瑞昇金屬工業股份有限公司,台北市內湖區,250000000,60,4
荃寶科技股份有限公司,台北市南港區,250000000,50,1
聯瑞科技股份有限公司,台北市中山區,250000000,60,2
營格股份有限公司,台北市中山區,250000000,50,0
台灣英飛凌科技股份有限公司,台北市南港區,249000000,160,3
滾石移動股份有限公司,台北市內湖區,245000000,40,0
頑石創意股份有限公司,台北市大安區,243760000,72,0
叡揚資訊股份有限公司,台北市中山區,242000000,510,45
仰德儀器股份有限公司,台北市南港區,240000000,45,0
禾企電子股份有限公司,台北市內湖區,240000000,70,8
信祥股份有限公司,台北市南港區,240000000,100,0
優志旺股份有限公司,台北市中正區,237800000,70,0
華威數位財金科技股份有限公司,台北市信義區,237210000,暫不提供,35
一品光學工業股份有限公司,台北市北投區,236000000,100,7
台灣理光股份有限公司,台北市南港區,235190000,210,16
北祥科技服務股份有限公司,台北市內湖區,235110000,160,21
松崗數位文創股份有限公司,台北市中正區,230980000,暫不提供,0
陸普科技股份有限公司,台北市內湖區,230000000,50,0
宏麗數位創意股份有限公司,台北市中山區,230000000,暫不提供,4
晶偉電子股份有限公司,台北市信義區,230000000,40,7
可取國際股份有限公司,台北市南港區,230000000,50,23
易遊網股份有限公司,台北市中山區,228000000,150,8
平安線有限公司,台北市信義區,228000000,70,9
生活市集_創業家兄弟股份有限公司,台北市南港區,226620000,185,17
啟奕資訊股份有限公司,台北市南港區,225280000,20,0
蓋曼群島商日本大拓股份有限公司,台北市松山區,224160000,68,0
研鼎智能股份有限公司,台北市內湖區,223450000,50,8
僑集科技股份有限公司,台北市內湖區,221000000,15,0
擎力科技股份有限公司,台北市南港區,220100000,38,0
東京著衣國際股份有限公司,台北市大同區,220000000,150,0
傳象科技股份有限公司,台北市松山區,220000000,70,0
亨泰光學股份有限公司,台北市士林區,220000000,130,5
泰仕電子工業股份有限公司,台北市內湖區,220000000,100,4
亨泰光學股份有限公司,台北市士林區,220000000,130,5
財宏科技股份有限公司,台北市內湖區,220000000,30,3
義美聯合電子商務股份有限公司,台北市大安區,216000000,30,0
翔威國際股份有限公司,台北市文山區,214500000,100,11
愛爾達科技股份有限公司,台北市中正區,210000000,120,0
普達系統股份有限公司,台北市內湖區,210000000,72,2
VTeam Financial Technology Service Corp._天逸財金科技服務股份有限公司,台北市士林區,28480000,500,25
物聯智慧股份有限公司,台北市南港區,28000000,100,5
台灣立訊精密有限公司,台北市內湖區,27580000,500,193
中鼎集團_新鼎系統股份有限公司,台北市南港區,23500000,249,4
鉅瞻科技股份有限公司,台北市內湖區,23000000,40,0
凌泰科技股份有限公司,台北市內湖區,21350000,20,0
煥德科技股份有限公司,台北市大安區,21270000,30,0
亞聯通信科技股份有限公司,台北市信義區,2350000,15,0
達振能源股份有限公司,台北市內湖區,280000,35,13
大陸商上海長園維安電子線路保護有限公司,台北市內湖區,200000000,850,0
點閱串流科技股份有限公司,台北市中山區,200000000,30,0
雷耀企業股份有限公司,台北市北投區,200000000,20,0
健格科技股份有限公司,台北市內湖區,200000000,100,0
碩英股份有限公司,台北市大同區,200000000,10,0
春水堂科技娛樂股份有限公司,台北市內湖區,200000000,暫不提供,0
QSAN_廣盛科技股份有限公司,台北市內湖區,200000000,70,21
博弘雲端科技股份有限公司,台北市中山區,200000000,100,15
奇唯科技股份有限公司,台北市大同區,200000000,130,6
湯銘科技股份有限公司,台北市松山區,200000000,暫不提供,1
東研信超股份有限公司,台北市內湖區,200000000,135,11
凱銳光電股份有限公司,台北市內湖區,200000000,150,14
東捷資訊服務股份有限公司,台北市南港區,200000000,450,22
台灣豪雅光學股份有限公司台北分公司,台北市中山區,200000000,110,2
泰鋒電腦股份有限公司,台北市內湖區,200000000,110,1
新必優資訊股份有限公司,台北市大同區,200000000,1400,16
驊宏資通集團_駿永資訊科技股份有限公司,台北市中正區,200000000,40,22
伊凡達科技股份有限公司,台北市大安區,200000000,100,17
宇匯知識科技股份有限公司,台北市松山區,200000000,105,10
PIXNET_優像數位媒體科技股份有限公司,台北市中山區,200000000,150,13
視惟科技股份有限公司,台北市內湖區,200000000,15,1
博客來數位科技股份有限公司,台北市南港區,200000000,暫不提供,8
耐特普羅資訊股份有限公司,台北市內湖區,200000000,80,4
巴比樂視網路科技股份有限公司,台北市大安區,200000000,暫不提供,6
薩摩亞商宸展科技有限公司台灣分公司,台北市大安區,200000000,800,9
源思科技股份有限公司,台北市中正區,200000000,60,7
宜眾資訊股份有限公司,台北市南港區,200000000,90,10
91APP_九易宇軒股份有限公司,台北市南港區,200000000,400,48
志合訊息股份有限公司,台北市內湖區,200000000,160,35
春水堂科技娛樂股份有限公司,台北市內湖區,200000000,暫不提供,0
前進智能股份有限公司,台北市信義區,200000000,暫不提供,7
網家速配股份有限公司,台北市大安區,200000000,100,27
慧誠智醫股份有限公司,台北市內湖區,200000000,45,5
火星貓科技股份有限公司,台北市內湖區,200000000,36,4
顥天光電股份有限公司,台北市內湖區,200000000,65,2
悅康健康管理顧問科技股份有限公司,台北市大安區,200000000,40,5
